ref,title,author,date,canon_degree,word_count,book_count,part_count,chapter_count,paragraph_count,sentence_count,verb_count,titled_book_count,titled_part_count,titled_chapter_count
1858_Segur-comtesse-de_Les-Malheurs-de-Sophie.xml,Les Malheurs de Sophie    ,"Ségur, comtesse de",1858,empty,40626,0,0,22,187,2158,4980,0,0,22
1850_Dumas-Alexandre_Le-Vicomte-de-Bragelonne.xml,Le Vicomte de Bragelonne,,1848,empty,789825,0,0,268,33064,34022,80532,0,0,268
2013_Stolz-Madame-de_Les-Poches-de-mon-oncle.xml,Les Poches de mon oncle    ,"Stolz, Madame de",2013,empty,53651,0,0,6,6,1927,5235,0,0,6
1861_Gondrecourt-Aristide-de_Le-Pays-de-la-peur-par-A-de-Gondrecourt-Tome-2-(1861).xml,"Le Pays de la peur, par A. de Gondrecourt - Tome 2 (1861)    ","Gondrecourt, Aristide de",1861,empty,38589,0,0,15,930,1274,3602,0,0,6
2014_Volodine-Antoine_Terminus-radieux.xml,Terminus radieux    ,"Toussaint, Jean-Philippe",2014,empty,181260,0,4,49,2597,8439,16319,0,4,49
1882_Hericault-Charles-d-_Les-Bourgeois-de-93--La-Fille-de-Notre-Dame-par-Ch-d-Hericault-(1882).xml,"Les Bourgeois de 93 : La Fille de Notre-Dame, par Ch. d'Héricault (1882)    ","Héricault, Charles d'",1882,empty,131812,0,2,27,2699,6013,13053,0,2,5
1909_Boylesve-Rene_La-jeune-fille-bien-elevee.xml,La jeune fille bien élevée    ,"Boylesve, René",1909,empty,69757,0,0,26,882,2249,6167,0,0,8
1872_Zola-Emile_La-curee.xml,La curée,"Zola, Jules",1872,empty,128325,0,0,7,1554,4952,12765,0,0,0
1861_Erckmann-Chatrian_Confidences-d-un-joueur-de-clarinette.xml,Confidences d'un joueur de clarinette    ,"Erckmann, Émile",1861,empty,33925,0,0,10,819,920,3690,0,0,10
1920_Toulet-Paul-Jean_La-jeune-fille-verte-roman.xml,"La jeune fille verte, roman    ","Toulet, Paul Jean",1920,empty,50968,0,0,9,1160,2290,4595,0,0,9
1881_ Verne-Jules_Dix-heures-de-chasse.xml,Dix heures de chasse ,,1881,empty,1052514,0,0,391,24041,38949,92695,0,0,277
2009_Modiano-Patrick_L-horizon.xml,L'horizon    ,"Modiano, Patrick",2009,empty,201,0,0,4,16,7,10,0,0,4
1961_Troyat-Henri_La-gloire-des-vaincus.xml,La gloire des vaincus    ,"Troyat, Henri",1960,empty,112143,0,2,18,2926,4982,11831,0,2,0
2013_Foa-Eugenie_La-Femme-a-la-mode.xml,La Femme à la mode    ,"Foa, Eugénie",2013,empty,42765,4,0,17,1191,1785,4447,4,0,16
1946_Simenon-Georges_Maigret-a-New-York.xml,Maigret à New York    ,"Simenon, Georges",1946,empty,55015,0,0,10,1956,2173,5294,0,0,10
1901_Maël-Pierre_Un-mousse-de-Surcouf.xml,Un mousse de Surcouf    ,"Maël, Pierre",1901,empty,70389,0,0,16,2404,3242,6590,0,0,16
